Species_Code,Species,Country,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2,Diadromous fishes,Netherlands,NLD,0,0,0,0,0,0,0,0,198.811,372.152,415.014,115.223,219.691,171.858,69.29,16.793,128.999,394.157
2,Diadromous fishes,Norway,NOR,939.258,1026.672,925.9453,858.7606,729.8488,737.2749,831.5273,638.9033,605.6426,363.9026,303.6968,318.4326,265.1898,197.6523,219.3487,4.4111,9.9799,20.4241
2,Diadromous fishes,Poland,POL,0,0,0,0,969.2298,999.51175,892.2108,838.0809,285.4165,622.6071,633.1501,371.3192,303.3748,282.4743,244.3075,269.2679,340.8615,390.49525
2,Diadromous fishes,Portugal,PRT,1.7,11.5,8.3,0.4,1.2,4.6,0.75,4.44,1.67377,3.71434,3.56513,7.9,0.6,0.8,0.5,0.7,0.5,0.3
2,Diadromous fishes,Spain,ESP,0,0,0,0,107,154,251,255,267,268.8,296.8,243.88,240.49,336.75,355.7,270.55,327.9,247.11
2,Diadromous fishes,Sweden,SWE,1946.0759,2329.6175,2289.0046,2674.4495,3295.9576,2990.2601,2353.3917,1982.9037,1623.3753,1902.2718,1901.9675,2151.5088,2012.753,2116.9087,2396.3561,2480.4228,2292.556,1527.3543
2,Diadromous fishes,Thailand,THA,833,497,556,190,186,68,413,106,54,78,31,47,75,107,208,0,0,0
2,Diadromous fishes,Turkey,TUR,720,690,862,1100,1172,2176,1738,2252,2289,3070,2574,2581.5,1699.3,1541,2094.4,2034.7,1642,1576.2
2,Diadromous fishes,United Kingdom,GBR,56.5402,89.0665,87.2183,31.4204,19.7187,9.845,17.1433,17.7532,13.1422,24.1827,7.8262,16.0072,12.1777,12.3099,8.669,3.4842,7.5766,7.7461
2,Diadromous fishes,United States,USA,300746,340676,270372,319262,348085,421059,313180,414661,311920,333138,370862,367028,302194,497868,338910,494656,264864,466449
3,Marine fishes,Argentina,ARG,533720.1,573838.9,652655.1,639461.6,765440.1,707012.2,723974.1,629597.1,619668.7,636999.6,596338.9,562569.4,506799.9,519395.8,484869.332,489441.376,454188.691,428718.547
3,Marine fishes,Australia,AUS,0,116269.2748,130876.78,142197.26,153478.9,158738.66,131957.652,126011.77,119403.13,115321.582,117493.8,107462.4983,110589.9,106136.59,102833.66,102726.3,124678.66,113296.26
3,Marine fishes,Belgium,BEL,25868.378,26471.393,26982.151,22162.015,21340.992,19204.248,17903.486,18797.484,17142.707,15480.515,16236.732,17535.064,18683.643,19787.642,20703.243,19180.318,20516.955,17986.24
